company_names,cars_names,engines,horsepower,cars_prices,fuel_types,seats
FERRARI,SF90 STRADALE,V8,963.0,1100000.0,plug in hyrbrid,2
ROLLS ROYCE,PHANTOM,V12,563.0,460000.0,Petrol,5
Ford,KA+,1.2L Petrol,77.5,13500.0,Petrol,5
MERCEDES,GT 63 S,V8,630.0,161000.0,Petrol,4
AUDI,AUDI R8 Gt,V10,602.0,253290.0,Petrol,2
BMW,Mclaren 720s,V8,710.0,499000.0,Petrol,2
ASTON MARTIN,VANTAGE F1,V8,656.0,193440.0,Petrol,2
BENTLEY,Continental GT Azure,V8,550.0,311000.0,Petrol,4
LAMBORGHINI,VENENO ROADSTER,V12,750.0,4500000.0,Petrol,2
FERRARI,F8 TRIBUTO,V8,710.0,280000.0,Petrol,2
FERRARI,812 GTS,V12,789.0,350000.0,Petrol,2
FERRARI,PORTOFINO,V8,592.0,210000.0,Petrol,2+2
FERRARI,ROMA,V8,612.0,230000.0,Petrol,2+2
FERRARI,MONZA SP2,V12,789.0,1700000.0,Petrol,2
FERRARI,F8 SPIDER,V8,710.0,280000.0,Petrol,2
FERRARI,PORTOFINO M,V8,612.0,220000.0,Petrol,2+2
FERRARI,ROMA SPIDER,V8,612.0,240000.0,Petrol,2+2
TOYOTA,GR SUPRA,I4,382.0,53900.0,Petrol,2
TOYOTA,TOYOTA 86,BOXER-4,205.0,27000.0,Petrol,2+2
TOYOTA,TOYOTA  GR86,BOXER-4,228.0,30000.0,Petrol,4
TOYOTA,TOYOTA LAND CRUISER,V8,381.0,85000.0,Diesel,7
TOYOTA,TOYOTA SEQUOIA,V8,381.0,50000.0,Petrol,7
NISSAN,GT-R,V6,600.0,113000.0,Petrol,4
NISSAN,370Z,V6,332.0,30000.0,Petrol,2
NISSAN,Z PROTO,V6,400.0,40000.0,Petrol,2
NISSAN,ALTIMA,I4,188.0,25000.0,Petrol,5
NISSAN,MAXIMA,V6,300.0,35000.0,Petrol,5
NISSAN,SENTRA,I4,149.0,20000.0,Petrol,5
NISSAN,ROGUE,I4,201.0,28000.0,Petrol,5
NISSAN,PATHFINDER,V6,284.0,35000.0,Petrol,7
NISSAN,FRONTIER,V6,310.0,30000.0,Petrol,5
NISSAN,TITAN,V8,400.0,40000.0,Petrol,5
ASTON MARTIN,VALKYRIE,V12,1160.0,3200000.0,Hybrid,2
ASTON MARTIN,VALHALLA,V8,1000.0,1100000.0,Hybrid,2
ASTON MARTIN,DBS SUPERLEGGERA,V12,715.0,316000.0,Petrol,2
ASTON MARTIN,DB11,V12,600.0,208000.0,Petrol,4
ASTON MARTIN,VANTAGE,V8,503.0,142000.0,Petrol,2
ASTON MARTIN,DBX,V8,542.0,189000.0,Petrol,5
ASTON MARTIN,RAPIDE AMR,V12,580.0,240000.0,Petrol,4
ASTON MARTIN,VANQUISH,V12,580.0,294000.0,Petrol,2
ASTON MARTIN,LAGONDA TARAF,V12,540.0,1100000.0,Petrol,4
ASTON MARTIN,VICTOR,V12,836.0,1300000.0,Petrol,2
LAMBORGHINI,SIAN,V12,819.0,2800000.0,Hybrid,2
LAMBORGHINI,AVENTADOR SVJ,V12,759.0,518000.0,Petrol,2
LAMBORGHINI,HURACAN PERFORMANTE,V10,640.0,274000.0,Petrol,2
LAMBORGHINI,HURACAN EVO,V10,640.0,261000.0,Petrol,2
LAMBORGHINI,AVENTADOR SV,V12,740.0,493000.0,Petrol,2
LAMBORGHINI,URUS,V8,641.0,211000.0,Petrol,5
LAMBORGHINI,HURACAN SPYDER,V10,610.0,287000.0,Petrol,2
LAMBORGHINI,AVENTADOR ROADSTER,V12,700.0,445000.0,Petrol,2
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,640.0,308000.0,Petrol,2
LAMBORGHINI,AVENTADOR S,V12,740.0,421000.0,Petrol,2
LAMBORGHINI,HURACAN EVO SPYDER,V10,640.0,287000.0,Petrol,2
LAMBORGHINI,URUS PERFORMANTE,V8,641.0,242000.0,Petrol,5
LAMBORGHINI,AVENTADOR ULTIMAE,V12,769.0,545000.0,Petrol,2
LAMBORGHINI,HURACAN EVO RWD,V10,610.0,258000.0,Petrol,2
LAMBORGHINI,AVENTADOR SVJ ROADSTER,V12,759.0,573000.0,Petrol,2
LAMBORGHINI,URUS S,V8,671.0,263000.0,Petrol,5
LAMBORGHINI,HURACAN STO,V10,640.0,327000.0,Petrol,2
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE,V12,769.0,545000.0,Petrol,2
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,610.0,273000.0,Petrol,2
LAMBORGHINI,AVENTADOR SVJ XAGO,V12,759.0,603000.0,Petrol,2
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,641.0,253000.0,Petrol,5
LAMBORGHINI,HURACAN STO EVO,V10,640.0,342000.0,Petrol,2
LAMBORGHINI,AVENTADOR LP 780-4 ULTIMATE ROADSTER,V12,769.0,573000.0,Petrol,2
ROLLS ROYCE,GHOST,V12,591.0,332000.0,Petrol,5
ROLLS ROYCE,WRAITH,V12,624.0,330000.0,Petrol,4
ROLLS ROYCE,DAWN,V12,624.0,360000.0,Petrol,4
ROLLS ROYCE,CULLINAN,V12,563.0,325000.0,Petrol,5
ROLLS ROYCE,PHANTOM EXTENDED,V12,563.0,500000.0,Petrol,5
ROLLS ROYCE,GHOST EXTENDED,V12,591.0,370000.0,Petrol,5
ROLLS ROYCE,WRAITH BLACK BADGE,V12,624.0,360000.0,Petrol,4
ROLLS ROYCE,DAWN BLACK BADGE,V12,624.0,390000.0,Petrol,4
